channel_group_name,state,testing_point,opps,bids,win_rate,sold,binds,quotes,click_to_quote,channel_quote,click_to_channel_quote,q2b,channel_binds,channel_q2b,cpc,avg_bid,win_rate_uplift_state,cpc_uplift_state,win_rate_uplift_channel,cpc_uplift_channel,performance,roe,combined_ratio,win_rate_uplift,cpc_uplift,additional_clicks,expected_bind_change,additional_budget_needed,current_cpb,expected_cpb,cpb_uplift,stat_sig,stat_sig_channel_group,stat_sig_source,recommended_testing_point,segment
Group 100 SCH,OR,-10,117,117,0.23076923076923078,27,3,12,0.10256410256410256,66,0.053833605220228384,0.05909617612977984,155,0.060943846702427834,9.716666666666667,8.655811965811964,0.2110453648915188,-0.08883616924075705,-0.018923456025389904,-0.14098628790371598,4.004164910301962,0.39435301014425356,0.8086723439572866,-0.018923456025389904,-0.14098628790371598,49.304184414933644,1.3354607363430877,-142.03076923076878,963.6999999999999,634.0892924538489,-0.3420262608136879,low,low,channel only,30,SCH
Group 100 SCH,OR,0,614,614,0.19055374592833876,117,3,22,0.035830618892508145,66,0.053833605220228384,0.05909617612977984,155,0.060943846702427834,10.664017094017094,9.93001628664495,,,,,,0,0,,,0,0,-399.7841368078175,963.6999999999999,830.4386210640608,-0.1382809784538125,baseline,baseline,baseline,30,SCH
Group 100 SCH,OR,10,122,122,0.22950819672131148,28,3,10,0.08196721311475409,66,0.053833605220228384,0.05909617612977984,155,0.060943846702427834,13.067857142857141,11.13688524590164,0.2044276306571389,0.22541599733450238,0.1570409225043939,0.022600330867279948,,0,0,0.1570409225043939,0.022600330867279948,47.75815667218458,1.0394877782214815,785.8950819672132,963.6999999999999,910.2627075124194,-0.05545013228969651,low,high,channel only,30,SCH
Group 100 SCH,OR,20,129,129,0.20930232558139536,27,3,4,0.031007751937984496,66,0.053833605220228384,0.05909617612977984,155,0.060943846702427834,13.148518518518516,12.096434108527129,0.09838998211091239,0.23297988015185356,0.208993180497642,0.1104663460612988,5.9181018237104315,0.18755225944740941,0.8969434380460425,0.208993180497642,0.1104663460612988,22.985758654647412,0.3553351643559388,482.8710077519381,963.6999999999999,1005.5540929543998,0.043430624628411234,low,high,channel only,30,SCH
Group 100 SCH,OR,30,116,116,0.3017241379310345,35,3,8,0.06896551724137931,66,0.053833605220228384,0.05909617612977984,155,0.060943846702427834,12.133142857142856,11.921293103448276,0.5834070144414971,0.13776476070635646,0.35669651422645177,0.22247102511882133,,0,0,0.5834070144414971,0.13776476070635646,136.29490059530494,2.550764453542624,1597.1168965517231,963.6999999999999,808.5763563048043,-0.16096673621998092,high,high,channel & state,30,SCH
Group 100 SCR,OR,-20,19,19,0,0,1,0,0,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,,6.197894736842105,-1,,-0.12539615679941085,,,0,0,-0.12539615679941085,,-82,-2.456800608352048,,604.96,,,low,low,channel only,0,SCR
Group 100 SCR,OR,-15,370,370,0.002702702702702703,1,1,0,0,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,12.32,9.157702702702704,-0.8776532630191166,0.18425433146554768,0.30186353916550074,0.103590001656886,,0,0,-0.8776532630191166,0.18425433146554768,-71.96756756756757,-2.0946968007968723,-481.36043243243245,604.96,-112.90758087316475,-1.1866364402161544,mid,low,channel & state,0,SCR
Group 100 SCR,OR,-10,366,366,0.01092896174863388,4,1,1,0.00273224043715847,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,6.1225000000000005,9.61226775956284,-0.5052645608423297,-0.4114775045131643,0.02965076677416828,-0.013006707305608817,36.74969375255206,0.4736042631112268,0.7621716633663354,0.02965076677416828,-0.013006707305608817,-41.431693989071036,-1.1579189777837395,-356.58054644808743,604.96,-1572.8284024992438,-3.599888261206102,low,low,channel only,0,SCR
Group 100 SCR,OR,-5,356,356,0.016853932584269662,6,1,2,0.0056179775280898875,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,9.421666666666667,10.050280898876398,-0.23705124691696353,-0.09434662665384998,0.727687683377982,-0.13415779332781447,,0,0,0.727687683377982,-0.13415779332781447,-19.438202247191015,-0.5889906821899064,-15.523595505618005,604.96,1434.119322732071,1.3706018955502361,low,high,channel only,0,SCR
Group 100 SCR,OR,0,1856,1856,0.02209051724137931,41,1,12,0.00646551724137931,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,10.403170731707318,10.623410560344805,,,,,,0,0,,,0,0,248.10000000000002,604.96,853.0600000000001,0.4101097593229305,baseline,baseline,baseline,0,SCR
Group 100 SCR,OR,5,324,324,0.009259259259259259,3,1,1,0.0030864197530864196,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,9.52,11.310524691358026,-0.5808491418247516,-0.08489438023116776,0.7909800333209601,0.22093560670565315,,0,0,0.7909800333209601,0.22093560670565315,-47.62962962962963,-1.477329236070801,-277.75407407407414,604.96,-685.4931590182175,-2.13312146095315,low,high,channel only,0,SCR
Group 100 SCR,OR,10,374,374,0.013368983957219251,5,1,2,0.0053475935828877,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,11.306000000000001,11.471470588235299,-0.39480892135124557,0.08678404801538009,0.1508770188651724,0.09303231298239259,,0,0,0.1508770188651724,0.09303231298239259,-32.37433155080214,-0.9223100355775214,-43.89219251336897,604.96,7221.882667310034,10.937785419383156,low,mid,channel only,0,SCR
Group 100 SCR,OR,20,19,19,0,0,1,0,0,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,,11.323684210526316,-1,,0.28630721245915997,,,0,0,0.28630721245915997,,-82,-1.7211871393239901,,604.96,,,low,high,channel only,0,SCR
Group 100 SCR,OR,30,28,28,0,0,1,0,0,18,0.004849137931034483,0.03535353535353535,42,0.08274938169826876,,12.176785714285716,-1,,0.22431016034427548,,,0,0,0.22431016034427548,,-82,-2.0837206509532558,,604.96,,,low,high,channel only,0,SCR
Group 110 MCH,OR,-15,58,58,0.1724137931034483,10,6,5,0.08620689655172414,52,0.09558823529411764,0.07815213615838833,196,0.07498017732285735,70.37199999999999,51.63896551724139,-0.18330308529945546,-0.13426255266247686,-0.1924623357745995,-0.11960482677539305,,0,0,-0.1924623357745995,-0.11960482677539305,-21.051340996168577,-0.5786823109817328,-2445.6617241379317,1507.6783333333333,1217.4915130379159,-0.19247263416848473,low,high,channel only,5,MCH
